transaction_id,date,time,client_id,amount,merchant,merchant_city,merchant_state
16741970,01.10.2015,05:14,514,23.58 USD,merchant: 24489,Melbourne,FL
16741971,01.10.2015,05:16,497,20.72 USD,merchant: 79664,London,United Kingdom
16741972,01.10.2015,05:16,528,7.52 USD,merchant: 26810,Le Mars,IA
16741973,01.10.2015,05:16,832,390.97 USD,merchant: 36998,Mckinney,TX
16741974,01.10.2015,05:17,1378,60.00 USD,merchant: 27092,Suring,WI
16741975,01.10.2015,05:18,630,80.00 USD,merchant: 27092,Jacksonville,FL
16741976,01.10.2015,05:20,1700,32.74 USD,merchant: 36934,Baton Rouge,LA
16741978,01.10.2015,05:23,816,11.70 USD,merchant: 61195,Bristol,TN
16741980,01.10.2015,05:24,961,36.41 USD,merchant: 58122,Atlanta,GA
16741981,01.10.2015,05:24,1656,45.38 USD,merchant: 54826,Alexandria,MN
16741982,01.10.2015,05:29,1967,46.93 USD,merchant: 37369,Laguna Hills,CA
16741983,01.10.2015,05:30,62,36.54 USD,merchant: 85032,Trinidad,CA
16741984,01.10.2015,05:31,1382,3.91 USD,merchant: 69972,Dallas,TX
16741985,01.10.2015,05:31,1759,2.87 USD,merchant: 46284,Palm Desert,CA
16741986,01.10.2015,05:32,737,1.22 USD,merchant: 4858,Medford,OR
16741987,01.10.2015,05:32,814,5.84 USD,merchant: 20519,Fellsmere,FL
16741988,01.10.2015,05:32,1531,10.49 USD,merchant: 53059,Summerville,GA
16741991,01.10.2015,05:38,571,2.06 USD,merchant: 17493,Martinsburg,WV
16741992,01.10.2015,05:39,1799,5.22 USD,merchant: 75781,Omaha,NE
16741993,01.10.2015,05:40,721,-156.00 USD,merchant: 15574,Canoga Park,CA
16741994,01.10.2015,05:40,1511,107.07 USD,merchant: 24666,Madison,WI
16741995,01.10.2015,05:41,1379,80.12 USD,merchant: 68751,Southfield,MI
16741999,01.10.2015,05:43,1513,51.40 USD,merchant: 50867,Shelton,CT
16742000,01.10.2015,05:43,1762,4.06 USD,merchant: 50783,Sacramento,CA
16742002,01.10.2015,05:44,351,26.31 USD,merchant: 52932,Flushing,NY
16742003,01.10.2015,05:44,721,117.25 USD,merchant: 15574,Canoga Park,CA
16742005,01.10.2015,05:45,1379,84.29 USD,merchant: 68751,Southfield,MI
16742007,01.10.2015,05:51,1117,29.39 USD,merchant: 13124,Humphrey,NE
16742014,01.10.2015,05:56,1487,61.24 USD,merchant: 14620,Mars,PA
16742015,01.10.2015,05:57,152,27.69 USD,merchant: 24823,Grand Bay,AL
16742017,01.10.2015,05:58,1455,8.29 USD,merchant: 76199,San Diego,CA
16742018,01.10.2015,05:59,503,16.25 USD,merchant: 32175,Chicago,IL
16742019,01.10.2015,06:00,360,61.85 USD,merchant: 31893,Atlantic City,NJ
16742020,01.10.2015,06:00,1241,-98.00 USD,merchant: 41260,New Bremen,OH
16742021,01.10.2015,06:00,1659,2.53 USD,merchant: 26371,Wauconda,IL
16742022,01.10.2015,06:01,116,0.59 USD,merchant: 91128,North Rose,NY
16742023,01.10.2015,06:01,763,34.45 USD,merchant: 85219,Houston,TX
16742025,01.10.2015,06:02,161,2.75 USD,merchant: 20519,San Angelo,TX
16742026,01.10.2015,06:02,515,4.30 USD,merchant: 22204,Longview,TX
16742027,01.10.2015,06:02,1089,104.84 USD,merchant: 59201,Louisville,KY
16742028,01.10.2015,06:02,1405,84.35 USD,merchant: 90915,Grand Forks,ND
16742029,01.10.2015,06:02,1799,3.96 USD,merchant: 16216,Omaha,NE
16742030,01.10.2015,06:02,1872,10.95 USD,merchant: 75936,Marietta,GA
16742031,01.10.2015,06:03,517,3.16 USD,merchant: 93013,Dearborn,MI
16742032,01.10.2015,06:03,1104,21.45 USD,merchant: 20561,Pompano Beach,FL
16742034,01.10.2015,06:04,402,1.37 USD,merchant: 45536,Melbourne,FL
16742035,01.10.2015,06:04,758,1.12 USD,merchant: 20561,Alhambra,CA
16742036,01.10.2015,06:04,1843,3.35 USD,merchant: 59935,Chicago Heights,IL
16742037,01.10.2015,06:05,46,10.80 USD,merchant: 25887,Dallas,TX
16742038,01.10.2015,06:05,573,39.23 USD,merchant: 43132,Lincolnton,GA
16742039,01.10.2015,06:05,961,73.87 USD,merchant: 27601,Atlanta,GA
16742040,01.10.2015,06:06,676,3.16 USD,merchant: 75781,Lewisville,TX
16742041,01.10.2015,06:06,1437,1.42 USD,merchant: 86438,Belfair,WA
16742043,01.10.2015,06:06,1852,10.07 USD,merchant: 75936,Chandler,AZ
16742045,01.10.2015,06:07,1241,98.00 USD,merchant: 41260,New Bremen,OH
16742046,01.10.2015,06:08,137,42.40 USD,merchant: 86410,Bristol,TN
16742047,01.10.2015,06:08,659,3.14 USD,merchant: 87258,Mitchell,IN
16742048,01.10.2015,06:08,1382,36.16 USD,merchant: 49789,Dallas,TX
16742049,01.10.2015,06:08,1776,19.63 USD,merchant: 81833,Warsaw,OH
16742050,01.10.2015,06:08,1959,176.81 USD,merchant: 54850,Northfield,OH
16742053,01.10.2015,06:10,795,17.61 USD,merchant: 20519,Dallas,TX
16742054,01.10.2015,06:10,1382,-89.00 USD,merchant: 49789,Dallas,TX
16742055,01.10.2015,06:10,1564,70.51 USD,merchant: 74691,Amarillo,TX
16742056,01.10.2015,06:11,379,0.82 USD,merchant: 86438,Mobile,AL
16742058,01.10.2015,06:11,1219,75.75 USD,merchant: 22465,Preston,MD
16742063,01.10.2015,06:14,60,6.93 USD,merchant: 87576,Sodus,NY
16742066,01.10.2015,06:15,185,39.75 USD,merchant: 35843,Elizabeth,NJ
16742067,01.10.2015,06:15,614,90.00 USD,merchant: 61195,Concord,NC
16742068,01.10.2015,06:15,737,1.19 USD,merchant: 4858,Medford,OR
16742071,01.10.2015,06:16,425,0.61 USD,merchant: 14528,Marina,CA
16742072,01.10.2015,06:16,814,3.98 USD,merchant: 42928,Palm Bay,FL
16742073,01.10.2015,06:16,1719,2.82 USD,merchant: 75936,Miami,FL
16742075,01.10.2015,06:17,122,35.62 USD,merchant: 13646,Bogalusa,LA
16742078,01.10.2015,06:17,1382,89.00 USD,merchant: 49789,Dallas,TX
16742079,01.10.2015,06:17,1383,103.18 USD,merchant: 86616,Winthrop,MA
16742080,01.10.2015,06:17,1882,62.19 USD,merchant: 54281,Union City,CA
16742081,01.10.2015,06:18,75,47.56 USD,merchant: 13523,Houston,TX
16742084,01.10.2015,06:18,1807,148.26 USD,merchant: 32175,Bronx,NY
16742085,01.10.2015,06:18,1955,4.98 USD,merchant: 81833,Canton,NC
16742086,01.10.2015,06:19,17,118.05 USD,merchant: 26810,Hickory,NC
16742087,01.10.2015,06:19,61,65.85 USD,merchant: 18517,West Harrison,NY
16742088,01.10.2015,06:19,637,272.78 USD,merchant: 50266,Township Of Washington,NJ
16742089,01.10.2015,06:19,679,3.33 USD,merchant: 22204,Minneapolis,MN
16742090,01.10.2015,06:20,432,168.51 USD,merchant: 35215,Newland,NC
16742091,01.10.2015,06:20,977,2.64 USD,merchant: 58343,Wilmer,TX
16742092,01.10.2015,06:20,1183,13.81 USD,merchant: 75781,Clarksville,IN
16742093,01.10.2015,06:20,1381,5.61 USD,merchant: 87625,Gretna,LA
16742095,01.10.2015,06:20,1594,2.06 USD,merchant: 22204,Canton,IL
16742097,01.10.2015,06:21,524,55.62 USD,merchant: 25062,Saint Albans,WV
16742098,01.10.2015,06:21,1295,17.25 USD,merchant: 13161,Duluth,MN
16742099,01.10.2015,06:21,1382,60.42 USD,merchant: 49789,Dallas,TX
16742101,01.10.2015,06:21,1944,11.39 USD,merchant: 98374,Kenton,KY
16742102,01.10.2015,06:22,190,1.58 USD,merchant: 61195,Skokie,IL
16742103,01.10.2015,06:22,370,46.10 USD,merchant: 81536,Rosemead,CA
16742106,01.10.2015,06:23,278,110.88 USD,merchant: 86410,Houston,TX
16742108,01.10.2015,06:23,1902,43.71 USD,merchant: 36830,Caldwell,OH
16742109,01.10.2015,06:24,614,20.76 USD,merchant: 61195,Concord,NC
16742110,01.10.2015,06:24,1241,41.73 USD,merchant: 41260,New Bremen,OH
16742112,01.10.2015,06:24,1769,18.89 USD,merchant: 71667,Manahawkin,NJ
16742113,01.10.2015,06:24,1791,3.52 USD,merchant: 60569,Indianapolis,IN
16742114,01.10.2015,06:25,497,7.57 USD,merchant: 78454,London,United Kingdom
16742116,01.10.2015,06:25,614,-90.00 USD,merchant: 61195,Concord,NC
16742117,01.10.2015,06:25,1024,8.29 USD,merchant: 55060,Andover,KS
16742119,01.10.2015,06:25,1719,31.66 USD,merchant: 11468,Fort Lauderdale,FL
16742121,01.10.2015,06:26,1080,38.29 USD,merchant: 86410,Fleming,GA
16742122,01.10.2015,06:26,1786,8.68 USD,merchant: 75781,Massillon,OH
16742125,01.10.2015,06:27,585,22.88 USD,merchant: 94973,Bastrop,TX
16742126,01.10.2015,06:27,634,4.24 USD,merchant: 22204,Seattle,WA
16742127,01.10.2015,06:27,847,120.00 USD,merchant: 27092,Billings,OK
16742128,01.10.2015,06:28,96,2.46 USD,merchant: 14528,Yorba Linda,CA
16742129,01.10.2015,06:29,737,1.30 USD,merchant: 4858,Medford,OR
16742130,01.10.2015,06:29,1575,67.92 USD,merchant: 13646,Arcadia,FL
16742131,01.10.2015,06:30,46,13.79 USD,merchant: 83844,Dallas,TX
16742132,01.10.2015,06:30,160,-80.00 USD,merchant: 59935,West New York,NJ
16742133,01.10.2015,06:30,1221,11.57 USD,merchant: 50783,Moreno Valley,CA
16742134,01.10.2015,06:30,1442,-84.00 USD,merchant: 59935,Hailey,ID
16742135,01.10.2015,06:31,706,30.78 USD,merchant: 59935,Belvedere Tiburon,CA
16742136,01.10.2015,06:31,1284,50.21 USD,merchant: 61231,Brewster,MA
16742137,01.10.2015,06:31,1456,100.00 USD,merchant: 27092,Lucedale,MS
16742140,01.10.2015,06:32,1786,84.00 USD,merchant: 59935,Magnolia,OH
16742141,01.10.2015,06:32,1926,46.07 USD,merchant: 59935,Scottsmoor,FL
16742142,01.10.2015,06:33,277,10.85 USD,merchant: 75781,Calhoun City,MS
16742143,01.10.2015,06:33,706,81.00 USD,merchant: 59935,Belvedere Tiburon,CA
16742144,01.10.2015,06:33,1786,-84.00 USD,merchant: 59935,Magnolia,OH
16742145,01.10.2015,06:34,1492,6.30 USD,merchant: 23083,Black Diamond,WA
16742147,01.10.2015,06:35,1444,269.93 USD,merchant: 62168,Oceanside,NY
16742149,01.10.2015,06:36,160,80.00 USD,merchant: 59935,West New York,NJ
16742150,01.10.2015,06:36,329,115.04 USD,merchant: 77931,Carpinteria,CA
16742151,01.10.2015,06:36,846,95.00 USD,merchant: 28395,Omaha,NE
16742153,01.10.2015,06:37,649,3.73 USD,merchant: 22204,Des Plaines,IL
16742155,01.10.2015,06:37,1424,-84.00 USD,merchant: 26810,Sedona,AZ
16742156,01.10.2015,06:37,1424,25.89 USD,merchant: 26810,Sedona,AZ
16742158,01.10.2015,06:38,122,30.65 USD,merchant: 36934,Raceland,LA
16742159,01.10.2015,06:38,667,40.43 USD,merchant: 20519,Greenville,NC
16742160,01.10.2015,06:38,706,-81.00 USD,merchant: 59935,Belvedere Tiburon,CA
16742161,01.10.2015,06:38,1067,97.38 USD,merchant: 81536,Derby,KS
16742163,01.10.2015,06:38,1871,714.68 USD,merchant: 85600,Manhattan Beach,CA
16742164,01.10.2015,06:39,240,3.42 USD,merchant: 50783,Oak Ridge,TN
16742165,01.10.2015,06:39,712,15.69 USD,merchant: 84749,Chula Vista,CA
16742166,01.10.2015,06:39,733,17.02 USD,merchant: 84179,Woodway,TX
16742167,01.10.2015,06:39,1926,69.00 USD,merchant: 59935,Scottsmoor,FL
16742169,01.10.2015,06:40,550,37.50 USD,merchant: 19756,Sumner,WA
16742170,01.10.2015,06:40,647,58.00 USD,merchant: 22204,Clovis,CA
16742172,01.10.2015,06:40,1116,62.76 USD,merchant: 32175,Warrington,PA
16742173,01.10.2015,06:41,1147,6.50 USD,merchant: 59935,Tiger,GA
16742175,01.10.2015,06:42,1664,5.01 USD,merchant: 83480,Ann Arbor,MI
16742176,01.10.2015,06:43,1376,8.15 USD,merchant: 79927,Cedar Park,TX
16742177,01.10.2015,06:44,1075,34.26 USD,merchant: 12614,Louisville,KY
16742178,01.10.2015,06:44,1959,848.54 USD,merchant: 99080,Chardon,OH
16742179,01.10.2015,06:45,364,81.63 USD,merchant: 75781,Andersonville,TN
16742180,01.10.2015,06:45,1752,49.33 USD,merchant: 8418,Abbeville,LA
16742182,01.10.2015,06:46,1979,10.13 USD,merchant: 81829,Pompano Beach,FL
16742183,01.10.2015,06:47,61,73.55 USD,merchant: 32858,Yonkers,NY
16742184,01.10.2015,06:47,647,-58.00 USD,merchant: 22204,Clovis,CA
16742186,01.10.2015,06:48,1926,-69.00 USD,merchant: 59935,Scottsmoor,FL
16742188,01.10.2015,06:49,1084,53.18 USD,merchant: 38327,Tacoma,WA
16742189,01.10.2015,06:49,1314,3.45 USD,merchant: 75781,New Braunfels,TX
16742190,01.10.2015,06:49,1500,5.68 USD,merchant: 22204,Elk Grove,CA
16742191,01.10.2015,06:49,1997,23.36 USD,merchant: 6905,Castlewood,SD
16742192,01.10.2015,06:50,53,0.99 USD,merchant: 14528,Vacaville,CA
16742193,01.10.2015,06:50,380,1.48 USD,merchant: 14528,Des Moines,IA
16742194,01.10.2015,06:50,1513,59.52 USD,merchant: 86313,Shelton,CT
16742195,01.10.2015,06:50,1783,2.63 USD,merchant: 33652,Oakland,CA
16742197,01.10.2015,06:51,581,29.60 USD,merchant: 34702,Kenner,LA
16742198,01.10.2015,06:51,846,13.01 USD,merchant: 28395,Omaha,NE
16742199,01.10.2015,06:52,1442,84.00 USD,merchant: 59935,Hailey,ID
16742200,01.10.2015,06:52,1543,3.33 USD,merchant: 55060,Sherman Oaks,CA
16742201,01.10.2015,06:52,1579,402.90 USD,merchant: 39088,Tampa,FL
16742202,01.10.2015,06:53,73,36.00 USD,merchant: 20561,Hopewell Junction,NY
16742203,01.10.2015,06:53,647,14.67 USD,merchant: 22204,Clovis,CA
16742205,01.10.2015,06:53,1168,1.56 USD,merchant: 86438,Winter Haven,FL
16742206,01.10.2015,06:53,1439,1.20 USD,merchant: 14528,New Market,TN
16742207,01.10.2015,06:53,1785,37.30 USD,merchant: 34490,Brownsville,TX
16742208,01.10.2015,06:54,89,33.76 USD,merchant: 13646,Mesilla Park,NM
16742209,01.10.2015,06:54,160,28.56 USD,merchant: 59935,West New York,NJ
16742210,01.10.2015,06:54,197,22.32 USD,merchant: 98374,Annville,KY
16742212,01.10.2015,06:54,1774,60.00 USD,merchant: 27092,Minneapolis,MN
16742213,01.10.2015,06:55,1504,28.48 USD,merchant: 60569,Lubbock,TX
16742214,01.10.2015,06:55,1786,41.87 USD,merchant: 59935,Magnolia,OH
16742217,01.10.2015,06:56,1595,34.57 USD,merchant: 20519,Bronx,NY
16742218,01.10.2015,06:57,1381,4.50 USD,merchant: 20519,Marrero,LA
16742219,01.10.2015,06:57,1442,3.11 USD,merchant: 59935,Hailey,ID
16742220,01.10.2015,06:58,898,4.08 USD,merchant: 28620,Allentown,PA
16742222,01.10.2015,06:58,1258,4.99 USD,merchant: 61195,Mira Loma,CA
